Issue Type,Summary,Description,Parent,Labels,Priority
Task,Diseñar interfaz,HU-01. Iniciar sesión,HU-01,frontend,Medium
Task,Implementar lógica,HU-01. Iniciar sesión,HU-01,backend,Medium
Task,Crear/Actualizar modelo,HU-01. Iniciar sesión,HU-01,database,Medium
Task,Realizar pruebas,HU-01. Iniciar sesión,HU-01,testing,Medium
Task,Actualizar documentación,HU-01. Iniciar sesión,HU-01,documentation,Medium
Task,Diseñar interfaz,HU-02. Registrar usuario,HU-02,frontend,Medium
Task,Implementar lógica,HU-02. Registrar usuario,HU-02,backend,Medium
Task,Crear/Actualizar modelo,HU-02. Registrar usuario,HU-02,database,Medium
Task,Realizar pruebas,HU-02. Registrar usuario,HU-02,testing,Medium
Task,Actualizar documentación,HU-02. Registrar usuario,HU-02,documentation,Medium
Task,Diseñar interfaz,HU-03. Editar usuario,HU-03,frontend,Medium
Task,Implementar lógica,HU-03. Editar usuario,HU-03,backend,Medium
Task,Crear/Actualizar modelo,HU-03. Editar usuario,HU-03,database,Medium
Task,Realizar pruebas,HU-03. Editar usuario,HU-03,testing,Medium
Task,Actualizar documentación,HU-03. Editar usuario,HU-03,documentation,Medium
Task,Diseñar interfaz,HU-04. Desactivar usuario,HU-04,frontend,Medium
Task,Implementar lógica,HU-04. Desactivar usuario,HU-04,backend,Medium
Task,Crear/Actualizar modelo,HU-04. Desactivar usuario,HU-04,database,Medium
Task,Realizar pruebas,HU-04. Desactivar usuario,HU-04,testing,Medium
Task,Actualizar documentación,HU-04. Desactivar usuario,HU-04,documentation,Medium
Task,Diseñar interfaz,HU-05. Asignar roles,HU-05,frontend,Medium
Task,Implementar lógica,HU-05. Asignar roles,HU-05,backend,Medium
Task,Crear/Actualizar modelo,HU-05. Asignar roles,HU-05,database,Medium
Task,Realizar pruebas,HU-05. Asignar roles,HU-05,testing,Medium
Task,Actualizar documentación,HU-05. Asignar roles,HU-05,documentation,Medium
Task,Diseñar interfaz,HU-06. Cerrar sesión,HU-06,frontend,Medium
Task,Implementar lógica,HU-06. Cerrar sesión,HU-06,backend,Medium
Task,Crear/Actualizar modelo,HU-06. Cerrar sesión,HU-06,database,Medium
Task,Realizar pruebas,HU-06. Cerrar sesión,HU-06,testing,Medium
Task,Actualizar documentación,HU-06. Cerrar sesión,HU-06,documentation,Medium
Task,Diseñar interfaz,HU-07. Registrar producto,HU-07,frontend,Medium
Task,Implementar lógica,HU-07. Registrar producto,HU-07,backend,Medium
Task,Crear/Actualizar modelo,HU-07. Registrar producto,HU-07,database,Medium
Task,Realizar pruebas,HU-07. Registrar producto,HU-07,testing,Medium
Task,Actualizar documentación,HU-07. Registrar producto,HU-07,documentation,Medium
Task,Diseñar interfaz,HU-08. Editar producto,HU-08,frontend,Medium
Task,Implementar lógica,HU-08. Editar producto,HU-08,backend,Medium
Task,Crear/Actualizar modelo,HU-08. Editar producto,HU-08,database,Medium
Task,Realizar pruebas,HU-08. Editar producto,HU-08,testing,Medium
Task,Actualizar documentación,HU-08. Editar producto,HU-08,documentation,Medium
Task,Diseñar interfaz,HU-09. Desactivar producto,HU-09,frontend,Medium
Task,Implementar lógica,HU-09. Desactivar producto,HU-09,backend,Medium
Task,Crear/Actualizar modelo,HU-09. Desactivar producto,HU-09,database,Medium
Task,Realizar pruebas,HU-09. Desactivar producto,HU-09,testing,Medium
Task,Actualizar documentación,HU-09. Desactivar producto,HU-09,documentation,Medium
Task,Diseñar interfaz,HU-10. Buscar producto,HU-10,frontend,Medium
Task,Implementar lógica,HU-10. Buscar producto,HU-10,backend,Medium
Task,Crear/Actualizar modelo,HU-10. Buscar producto,HU-10,database,Medium
Task,Realizar pruebas,HU-10. Buscar producto,HU-10,testing,Medium
Task,Actualizar documentación,HU-10. Buscar producto,HU-10,documentation,Medium
Task,Diseñar interfaz,HU-11. Consultar producto,HU-11,frontend,Medium
Task,Implementar lógica,HU-11. Consultar producto,HU-11,backend,Medium
